
Data i czas zapisu: 26.07.2023 18:52:50; ID wątku: 3
Data i czas zapisu: 26.07.2023 18:52:51; ID wątku: 4
Data i czas zapisu: 26.07.2023 18:52:52; ID wątku: 5
Data i czas zapisu: 26.07.2023 18:52:52; ID wątku: 6
Data i czas zapisu: 26.07.2023 18:52:53; ID wątku: 7
Data i czas zapisu: 26.07.2023 18:52:53; ID wątku: 8
Data i czas zapisu: 26.07.2023 18:52:54; ID wątku: 3
Data i czas zapisu: 26.07.2023 18:52:54; ID wątku: 4
Data i czas zapisu: 26.07.2023 18:52:57; ID wątku: 7
Data i czas zapisu: 26.07.2023 18:52:57; ID wątku: 5
Data i czas zapisu: 26.07.2023 18:52:57; ID wątku: 8
Data i czas zapisu: 26.07.2023 18:52:57; ID wątku: 6
Data i czas zapisu: 26.07.2023 18:52:57; ID wątku: 4
Data i czas zapisu: 26.07.2023 18:52:58; ID wątku: 3
Data i czas zapisu: 26.07.2023 18:52:59; ID wątku: 3
Data i czas zapisu: 26.07.2023 18:52:59; ID wątku: 6
Data i czas zapisu: 26.07.2023 18:53:00; ID wątku: 6
Data i czas zapisu: 26.07.2023 18:53:01; ID wątku: 5
Data i czas zapisu: 26.07.2023 18:53:01; ID wątku: 3
Data i czas zapisu: 26.07.2023 18:53:01; ID wątku: 4
Data i czas zapisu: 26.07.2023 18:53:02; ID wątku: 7
Data i czas zapisu: 26.07.2023 18:53:02; ID wątku: 8
Data i czas zapisu: 26.07.2023 18:53:02; ID wątku: 4
Data i czas zapisu: 26.07.2023 18:53:03; ID wątku: 8
Data i czas zapisu: 26.07.2023 18:53:03; ID wątku: 6
Data i czas zapisu: 26.07.2023 18:53:04; ID wątku: 7
Data i czas zapisu: 26.07.2023 18:53:06; ID wątku: 7
Data i czas zapisu: 26.07.2023 18:53:06; ID wątku: 5
Data i czas zapisu: 26.07.2023 18:53:07; ID wątku: 8
Data i czas zapisu: 26.07.2023 18:53:11; ID wątku: 5
